#airframe_info, log_version="1.03", log_content_version="1.01", Product="TXi", airframe_name="Mooney M20J", unit_software_part_number="006-B2014-2H", unit_software_version="3.50", system_software_part_number="006-B2014-2H", system_id="71D00611C4E8A", tail_number="N12345", unit="GDU1", unit_cycle="295", mode=NORMAL, flightstream_header="71D00611C4E8A_20231104_084813", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,     G,      G,   deg,   deg,     volts,     amps,   gals,   gals,      lbs,      lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,  deg F/min,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,    deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,       ft,   bool,          #,            s,     G, crc16
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, bus1volts, alt1amps,  FQtyL,  FQtyR, FQtyLlbs, FQtyRlbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress, OnGrnd,     LogIdx,      SysTime, LonAc, LogCheck
2023-11-04, 08:48:13,  -04:00,       ,             ,             ,    39.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.44,  30.08,    0.0,        ,   41.94,   42.01,   41.95,   42.08,           ,   41.62,   41.72,   41.66,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          0,         12.0,      , 9892
2023-11-04, 08:48:14,  -04:00,       ,             ,             ,    39.5, 30.13,        ,      ,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.44,  30.08,    0.0,        ,   41.94,   42.01,   41.95,   42.06,          0,   41.62,   41.71,   41.67,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          1,         13.1,      , 85B8
2023-11-04, 08:48:15,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.44,  30.08,    0.0,       0,   41.94,   42.02,   41.94,   42.07,          0,   41.62,   41.71,   41.66,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          2,         14.1,      , 3879
2023-11-04, 08:48:16,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.44,  30.08,    0.0,       0,   41.93,   42.01,   41.94,   42.06,          0,   41.62,   41.71,   41.66,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          3,         15.1,      , 896D
2023-11-04, 08:48:17,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.44,  30.08,    0.0,       0,   41.93,   42.01,   41.94,   42.07,         -0,   41.61,   41.70,   41.67,   41.71,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          4,         16.1,      , 3670
2023-11-04, 08:48:18,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.00,   41.92,    0.45,  30.08,    0.0,       0,   41.93,   42.03,   41.94,   42.06,         -0,   41.62,   41.70,   41.67,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          5,         17.1,      , 45AF
2023-11-04, 08:48:19,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.93,    0.44,  30.08,    0.0,       0,   41.94,   42.01,   41.95,   42.06,         -0,   41.63,   41.71,   41.67,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          6,         18.1,      , B830
2023-11-04, 08:48:20,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,   -0.22,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.01,   41.92,    0.45,  30.08,    0.0,       0,   41.95,   42.01,   41.95,   42.06,         -0,   41.63,   41.70,   41.66,   41.71,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          7,         19.1,      , AFC5
2023-11-04, 08:48:21,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,   -0.34,       ,       ,      ,       ,      ,      ,      24.4,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.00,   41.92,    0.45,  30.08,    0.0,       0,   41.93,   42.01,   41.95,   42.06,         -0,   41.62,   41.71,   41.67,   41.72,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          8,         20.1,      , BBEB
2023-11-04, 08:48:22,  -04:00,       ,             ,             ,    39.5, 30.13,        ,   5.5,   0.00,       ,   -0.71,       ,       ,      ,       ,      ,      ,      24.3,         ,  25.90,  22.10,   155.40,   132.60,     0.00,    -0.00,   41.93,    0.45,  30.08,    0.0,       0,   41.93,   42.02,   41.95,   42.06,         -0,   41.62,   41.71,   41.66,   41.71,        ,   0, GPS1,  150.0, 108.00, 117.60,       ,       ,       ,      ,       ,       ,  -12.8,      0,  NONE,   NONE,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,   -153.0,      1,          9,         21.1,      , 276C
